상권_코드,면적당_매출
1000001,647335.6087983416
1000002,3124758.2107486944
1000003,1507444.0315694015
1000004,1552183.2286257471
1000005,167444.38710396734
1000006,1078857.693755061
1000007,2881633.9308352415
1000008,1068223.565232307
1000009,865846.4472162351
1000010,1376907.6430957234
1000011,2413789.7252621087
1000012,822180.3625770559
1000013,1188239.1053823712
1000014,917251.4270516223
1000015,1831348.9140345159
1000016,3308912.367585748
1000017,7453289.426136554
1000018,4479591.106703334
1000019,566431.5658617774
1000020,956929.2334472078
1000021,1919945.9929389132
1000022,1352079.7514299818
1000023,592965.1807185712
1000024,215017.59033930016
1000025,340736.8783970261
1000026,153728.13771022332
1000027,668695.8336024685
1000028,2475884.2752402686
1000029,1275303.6356274763
1000030,692435.4034940653
1000031,1149205.039791573
1000032,3323893.3973557036
1000033,1945848.0914049458
1000034,2494900.4443519376
1000035,638958.3752929327
1000036,657167.1603033427
1000037,579908.5224469368
1000038,6772941.346950324
1000039,1396693.5088993236
1000040,2989015.5153310476
1000041,910844.1971097547
1000042,1613944.6210120136
1000043,317418.5770492714
1000044,492555.9183269809
1000045,759456.3733130296
1000046,1020030.9404961964
1000047,1293741.6607685061
1000048,1046566.4258256635
1000049,885717.2591438245
1000050,899241.5321154805
1000051,2666204.669731938
1000052,5418932.994703556
1000053,2141033.0921332305
1000054,1529968.5978072379
1000055,2269350.7943640617
1000056,680734.4956624727
1000057,1028813.0064655263
1000058,643569.6483314807
1000059,269646.45610369946
1000060,614967.8962347016
1000061,942845.1318904051
1000062,189103.22678981157
1000063,1715901.996889306
1000064,575652.7628444555
1000065,1578728.6246151114
1000066,602033.1368579634
1000067,1202078.8557815573
1000068,1929907.2920678784
1000069,924420.2978271578
1000070,2761705.297196692
1000071,2938618.1608234053
1000072,971678.2488026543
1000073,3768657.04914913
1000074,196389.97000960188
1000075,339741.4478578548
1000076,529745.9745646012
1000077,1922423.4237575314
1000078,1416278.51629941
1000079,5134545.179646722
1000080,3133786.866508503
1000081,1705411.4463249943
1000082,883000.7112897737
1000083,5352202.17213613
1000084,3270375.470098126
1000085,1543725.1510959398
1000086,1589840.8685575787
1000087,466100.3495901429
1000088,1443532.0945555645
1000089,72832.78971536705
1000090,884400.6331360703
1000091,1743632.9388480291
1000092,2206166.916734479
1000093,584126.5220937654
1000094,2560973.784556328
1000095,209051.35488951465
1000096,2254414.3487523277
1000097,329977.49430769554
1000098,1571593.9112093444
1000099,2408271.5567941284
1000100,4189643.7578795915
1000101,530807.1769609342
1000102,928927.7648662629
1000103,2137509.2630541683
1000104,4649260.020160954
1000105,1302396.1770017673
1000106,810868.4787037091
1000107,1625924.3204484577
1000108,709330.824280317
1000109,8218168.558641278
1000110,2115641.213411824
1000111,1131802.85353208
1000112,1060559.7875932045
1000113,3773672.008040322
1000114,1409659.1813822305
1000115,1173802.7137125893
1000116,1802436.999629808
1000117,1196134.6269297872
1000118,1840048.6153735148
1000119,619460.8149433183
1000120,2625345.679381383
1000121,2369707.347801738
1000122,305844.06085488125
1000123,3005003.4537075856
1000124,4535801.480560449
1000125,3262596.629625769
1000126,995260.5941417435
1000127,2630476.554287971
1000128,1726208.690632324
1000129,3064823.81567205
1000130,1110050.1157097318
1000131,689113.7995281531
1000132,1397390.3239835515
1000133,1338987.393578312
1000134,2279955.3172570686
1000135,388033.5593052524
1000136,1800449.2069945203
1000137,1493889.46227506
1000138,1588029.9279202046
1000139,1462996.8609901117
1000140,949863.4438784004
1000141,805680.1493747262
1000142,2602285.7147139926
1000143,350733.8382661143
1000144,636270.4733693119
1000145,602036.3704562464
1000146,1092696.2058414044
1000147,462829.89509209694
1000148,1644480.2084854625
1000149,867490.6145417694
1000150,459883.12157032226
1000151,425743.03488298703
1000152,2144958.0368622886
1000153,1564541.2381492553
1000154,2322658.772886322
1000155,678567.97281409
1000156,1131901.5823766205
1000157,439816.9997823167
1000158,2009617.0648084423
1000159,2560067.3000188996
1000160,1199789.1197035774
1000161,3685364.0458280924
1000162,605212.2049962677
1000163,1402476.3767457886
1000164,490543.0179006368
1000165,2785895.4114354006
1000166,1811693.9429458526
1000167,2736938.919036945
1000168,3602608.3442628724
1000169,2367917.260051288
1000170,1679747.4172879325
1000171,494063.1776973374
1000172,998436.1269533348
1000173,1469221.5897699418
1000174,510392.90315240336
1000175,1625065.1572352806
1000176,1914385.6317958955
1000177,3259627.786610548
1000178,1812253.0761830062
1000179,494032.98135188565
1000180,3961782.53553475
1000181,1621787.4577464983
1000182,331610.5796063639
1000183,485152.3145782206
1000184,1287077.7010253319
1000185,1097658.8084415449
1000186,1273373.273518494
1000187,194115.00948303743
1000188,544030.4086841762
1000189,2122423.450492453
1000190,1624227.3941363806
1000191,852932.8964711204
1000192,2737036.523664581
1000193,1271430.6754460642
1000194,171278.66880264215
1000195,1120394.6515795907
1000196,2455432.370139884
1000197,1657176.6290738855
1000198,2397051.6966243787
1000199,1371234.107336402
1000200,1339265.9016524202
1000201,3632428.7042938448
1000202,3055976.887982723
1000203,501786.3591851944
1000204,1561418.6685486666
1000205,877004.1136708778
1000206,231346.65014335347
1000207,1156083.8942097446
1000208,1537748.8841406666
1000209,258319.4962512997
1000210,1438567.282106915
1000211,138885.4721964248
1000212,354227.00910297886
1000213,1647437.4333865496
1000214,1443881.7916075734
1000215,1166191.1809983994
1000216,1621817.7770360978
1000217,1666654.9846461331
1000218,440933.6009376733
1000219,127944.04291652606
1000220,4055931.184811684
1000221,1205728.8025489456
1000222,1623907.9048669117
1000223,335865.84319889464
1000224,660199.9645509067
1000225,208447.1418391411
1000226,2055464.864808532
1000227,720082.177442899
1000228,577580.4069724184
1000229,1616253.665362391
1000230,1487870.9062106782
1000231,1753270.460351979
1000232,457174.88477185613
1000233,1987726.1869123497
1000234,488891.50583793677
1000235,1500429.0703821478
1000236,297580.93248194165
1000237,2987542.6790204616
1000238,732462.0218147374
1000239,1170652.5808137176
1000240,474966.1939165636
1000241,756985.8010393182
1000242,666140.2271993257
1000243,2760340.3880585064
1000244,918760.3772600146
1000245,1409316.1441765765
1000246,1156837.8077056261
1000247,948897.0864224281
1000248,492327.38775054377
1000249,1844131.512879732
1000250,148125.7307607302
1000251,526150.4357329451
1000252,2396246.977576672
1000253,895207.6669328058
1000254,2760770.5750401774
1000255,428180.747517034
1000256,692107.2225720899
1000257,722109.8279028062
1000258,1230944.3810631004
1000259,486396.0869262413
1000260,1855737.411258613
1000261,1130270.069113897
1000262,556617.3084692836
1000263,1470583.7387976514
1000264,778276.3261948891
1000265,475101.67572719976
1000266,658641.5862792864
1000267,266396.3213749987
1000268,767282.0258228409
1000269,1974983.33884341
1000270,1001560.1024836005
1000271,6059900.727957485
1000272,7711861.313362333
1000273,1133969.4110842869
1000274,829926.681161977
1000275,272950.8086971563
1000276,1184789.2213835255
1000277,1688246.9325534464
1000278,2627559.1676955456
1000279,105314.4077239982
1000280,197138.6682646808
1000281,645027.6915144783
1000282,771649.3892686216
1000283,303604.3364265538
1000284,1380868.5442669557
1000285,521031.9126250664
1000286,1062988.9037577454
1000287,728259.2313898563
1000288,2028638.3677693515
1000289,862387.6255012077
1000290,1237614.9775700695
1000291,3535622.5748861153
1000292,4833879.239729174
1000293,586327.4496440135
1000294,1817420.3931151677
1000295,869423.3054364129
1000296,160270.55911151727
1000297,1098358.1947356747
1000298,442160.95116541936
1000299,310579.5849481243
1000300,875041.2620081715
1000301,1746421.0432398512
1000302,1681639.5957416974
1000303,730520.8035786478
1000304,842316.3472564168
1000305,942113.6636486513
1000306,1329774.8027461162
1000307,78835.03815595152
1000308,2014938.1581079739
1000309,1077146.648967807
1000310,1064179.9809403864
1000311,801956.0313624404
1000312,410708.70486289717
1000313,359964.64701135043
1000314,1357900.2542087517
1000315,1089331.19956317
1000316,686151.5160748127
1000317,330316.01437711634
1000318,1114354.618442622
1000319,1075688.8272091793
1000320,654869.3930021637
1000321,77567.25428372319
1000322,1510574.8612332554
1000323,2613535.892028861
1000324,994690.4629964005
1000325,1153812.0639728464
1000326,421222.82070216245
1000327,611567.250692765
1000328,330488.0189108271
1000329,337244.7346129236
1000330,1708972.707653112
1000331,709658.1000379019
1000332,127803.39550956724
1000333,314873.5402688392
1000334,436702.1292681995
1000335,239473.10732263213
1000336,937827.1848083935
1000337,2026100.6641742776
1000338,613855.2127565818
1000339,940010.3606496976
1000340,962731.4814370577
1000341,741568.4666711916
1000342,3042230.4877388217
1000343,379405.9840258202
1000344,272367.9818449286
1000345,170922.4588816901
1000346,1817494.572574185
1000347,988623.45344252
1000348,193865.7985504462
1000349,2569664.423015995
1000350,1048732.9417030935
1000351,1421589.4029497993
1000352,3663558.182326223
1000353,1060029.6795937608
1000354,336956.0147953371
1000355,841346.0810953167
1000356,759607.757355081
1000357,648387.3708335672
1000358,2224353.650789858
1000359,1278515.1453516036
1000360,3552109.719444054
1000361,1608524.677226582
1000362,834336.0993623475
1000363,386228.73618950206
1000364,482335.7476742832
1000365,1073855.8535229617
1000366,2232323.7604751354
1000367,745279.7110261027
1000368,2351497.4592663515
1000369,1057383.6315918288
1000370,658125.0640054921
1000371,212027.79270111685
1000372,1209542.8717627386
1000373,1752912.3790308908
1000374,701172.8931928725
1000375,939527.0021986808
1000376,916168.2813357341
1000377,1647144.6920714143
1000378,958076.3402642024
1000379,909694.6507091074
1000380,3098571.130064083
1000381,1234705.6168243303
1000382,628820.7036694024
1000383,3949730.801477049
1000384,1356050.6161069635
1000385,2440136.0135119515
1000386,6541450.440574209
1000387,1278429.241469863
1000388,548858.9636868527
1000389,709863.6967959161
1000390,1340324.5541511583
1000391,612589.0169203142
1000392,332525.00586900156
1000393,1046417.6093457311
1000394,949790.2541473565
1000395,271863.443732222
1000396,709934.8516676982
1000397,290665.6629494749
1000398,366339.36382911133
1000399,1034149.9918482169
1000400,315923.08104245696
1000401,773400.0101754393
1000402,3489373.197296969
1000403,801338.3905401626
1000404,1672264.0227712789
1000405,1385711.7440985637
1000406,2029461.7553984649
1000407,724137.5298390716
1000408,296660.2644865733
1000409,674287.4481176262
1000410,451295.5987849636
1000411,1262667.1395554645
1000412,1663655.6914351697
1000413,2554167.0075166733
1000414,225359.47793282135
1000415,1043089.1758265554
1000416,1404806.9938256522
1000417,1646232.8148227988
1000418,2415908.6481834534
1000419,507225.755116916
1000420,3253583.6607015114
1000421,594624.4064819046
1000422,655490.4560073849
1000423,382472.2112444503
1000424,461259.0726373154
1000425,429458.3813315923
1000426,597009.6249412501
1000427,481769.4116773447
1000428,619027.8367480654
1000429,585937.0168307199
1000430,1497426.9921864413
1000431,674819.5137470905
1000432,408761.413614905
1000433,2242204.540716949
1000434,142736.13506230747
1000435,1316132.4500075064
1000436,189121.92473361565
1000437,1209933.1857055884
1000438,666160.1151540545
1000439,560313.4399235278
1000440,1689265.4369014974
1000441,2152911.9275478767
1000442,1170998.9594869453
1000443,157417.59031580255
1000444,3537435.9384138985
1000445,978486.953194617
1000446,832403.6750423881
1000447,1993747.5371302378
1000448,177212.166585488
1000449,2242293.5001201774
1000450,341994.55931136885
1000451,2058494.6665788349
1000452,1480861.727069618
1000453,3409107.960344488
1000454,3674218.6951599177
1000455,1220521.8099454595
1000456,1108904.7501083429
1000457,369201.46818480943
1000458,1195572.453185023
1000459,329890.5273265646
1000460,1276141.0426120386
1000461,412282.97809607745
1000462,5203549.239135512
1000463,794547.3247330515
1000464,715084.3554598549
1000465,2536911.2536889566
1000466,654737.7507636888
1000467,2246516.832128772
1000468,1689779.4884379387
1000469,1902877.913891581
1000470,2985747.878187753
1000471,3987677.588828785
1000472,1445510.5607757755
1000473,3828183.5996791734
1000474,922177.7521792535
1000475,3183005.600574234
1000476,727807.8931689328
1000477,2644421.8233528016
1000478,793835.9009948908
1000479,243717.07455706559
1000480,1979515.6437272886
1000481,1259703.3118853946
1000482,1949228.9577674167
1000483,1314191.6298758234
1000484,374378.67295190244
1000485,1169915.318379902
1000486,33601.784212926184
1000487,1203454.2850833293
1000488,1740639.8473660634
1000489,100441.67735341565
1000490,854238.4653410194
1000491,2262798.5218596356
1000492,3417038.665786702
1000493,1456062.5699616442
1000494,4364528.785960762
1000495,2974282.8013736475
1000496,1367165.981081528
1000497,1543859.8153062002
1000498,2742064.683476518
1000499,1644954.1466068374
1000500,4582022.610201583
1000501,1367189.7829322317
1000502,719951.9121945885
1000503,1734472.6302855453
1000504,1960640.906520432
1000505,2448244.454336828
1000506,254371.6190876493
1000507,279839.2137065678
1000508,659413.672347108
1000509,430897.84228047635
1000510,760134.4544918645
1000511,879305.1799046705
1000512,533344.1692123896
1000513,1399470.9732166608
1000514,483158.37711670884
1000515,762486.9082297797
1000516,540067.2449472788
1000517,2487901.450558191
1000518,1859040.9468307449
1000519,3638131.215301986
1000520,3898542.9100943888
1000521,1975830.4214450554
1000522,3020770.6308715707
1000523,1084528.9762020297
1000524,447602.97317825677
1000525,697982.669679828
1000526,1718435.449582891
1000527,282146.5184591448
1000528,317739.3773605387
1000529,801616.6587017706
1000530,1808800.9399534515
1000531,788934.2133550061
1000532,1974687.3564124561
1000533,2314681.572965862
1000534,1158174.7224924774
1000535,300611.11970467947
1000536,397039.05606984755
1000537,820472.3906230046
1000538,221829.3585264939
1000539,1348656.8461801836
1000540,3070548.4304889133
1000541,1201948.4570614402
1000542,483590.59012503317
1000543,3725290.07082218
1000544,1909734.036392853
1000545,1710669.8198743016
1000546,220817.283530626
1000547,579365.4740648306
1000548,638993.9937124664
1000549,1356887.5686321266
1000550,677320.8275986222
1000551,1550377.624720428
1000552,631004.0977232358
1000553,978936.5983561535
1000554,889877.3740643054
1000555,442353.73803145764
1000556,706218.5932141729
1000557,1396074.1757231231
1000558,353889.60418931337
1000559,5881078.471473126
1000560,993256.7011157249
1000561,1134517.7166316304
1000562,391867.4244353359
1000563,3817891.225826798
1000564,1844041.1664333637
1000565,609167.9944838576
1000566,1198319.549198787
1000567,1064371.7038976226
1000568,426308.72718069376
1000569,1232301.0797316737
1000570,496190.43536455196
1000571,289239.69665507454
1000572,214171.35084777596
1000573,2744263.0661656894
1000574,1824505.8015701692
1000575,2725866.849330762
1000576,1517562.4673525856
1000577,2067766.5305830762
1000578,922071.3931824369
1000579,1562334.78961651
1000580,1539304.8958187536
1000581,674446.8028043566
1000582,1386120.8678575212
1000583,601003.1012977483
1000584,791781.5493730735
1000585,1131016.3782816133
1000586,873310.5161143095
1000587,792001.1525431065
1000588,3980855.005892492
1000589,766460.6226905062
1000590,1859044.367549372
1000591,879426.1683485502
1000592,3575931.0787011157
1000593,556862.4697259618
1000594,769078.771051496
1000595,1024019.6255193879
1000596,661554.163924731
1000597,2552475.9831299004
1000598,1054263.1775021339
1000599,1117170.5819627838
1000600,1857549.1881413243
1000601,241594.31435103808
1000602,277516.34157444607
1000603,1273255.2904755152
1000604,935429.9950076547
1000605,983113.5633281928
1000606,1645191.6701878537
1000607,1722046.8283852953
1000608,1626948.7032577316
1000609,140582.93515613695
1000610,238809.8378390408
1000611,864475.8132588028
1000612,301601.27829469554
1000613,865992.6267606061
1000614,2227246.7713289103
1000615,818702.2456630684
1000616,1856853.137907383
1000617,565979.0693940667
1000618,761803.2604389926
1000619,517770.6944348385
1000620,2635392.113234392
1000621,1169949.1883916953
1000622,918627.7903988643
1000623,374509.5552299507
1000624,280131.0717365424
1000625,2037858.2162896653
1000626,1312174.6463679005
1000627,1061126.8615323543
1000628,639852.5840849184
1000629,562013.4256213313
1000630,628040.1930242365
1000631,459310.87587038777
1000632,715923.542012098
1000633,2613775.716504217
1000634,1111307.4650339775
1000635,1133250.7144923708
1000636,324900.6756980992
1000637,5813263.61710881
1000638,934148.6797987932
1000639,4252571.570916864
1000640,1656197.3446546614
1000641,3368066.4157767235
1000642,1150160.4289048258
1000643,1405851.7849437152
1000644,8601306.814070102
1000645,640601.8775477312
1000646,1236545.112094787
1000647,370091.77988098277
1000648,1232286.8256382642
1000649,200848.76535733626
1000650,1329838.878243397
1000651,810608.9683390495
1000652,708400.532485223
1000653,2448044.9566130624
1000654,689607.4720896021
1000655,790802.8980946606
1000656,791871.2344428215
1000657,498701.71135839657
1000658,287894.8620698654
1000659,891023.7598558825
1000660,2035219.4659901762
1000661,2429773.448365522
1000662,777076.2619482701
1000663,1866719.7620022616
1000664,1315506.6454403885
1000665,667344.2673812434
1000666,3090840.918994337
1000667,614949.3233495688
1000668,466835.7113231914
1000669,940263.651920757
1000670,1912552.7404859974
1000671,1552576.8777526137
1000672,1293508.093852816
1000673,1717464.7628306353
1000674,703847.7368808639
1000675,954289.8852269101
1000676,886556.5830166216
1000677,668238.6833739674
1000678,411110.8575854371
1000679,1755979.4439438242
1000680,605933.9432635636
1000681,123325.49112310972
1000682,1119363.2092464273
1000683,439361.0335008874
1000684,841519.9746049659
1000685,578860.4534886678
1000686,373553.80538112624
1000687,1039252.6279529156
1000688,3217880.974797148
1000689,2086629.0035154594
1000690,2800740.330823982
1000691,2567036.267735748
1000692,561322.7284034652
1000693,3022350.5173631865
1000694,424585.4118182177
1000695,2511301.5716966116
1000696,2316085.008125377
1000697,962308.740028686
1000698,1170836.7630789112
1000699,467303.8372487927
1000700,652904.6837195
1000701,467623.56426717556
1000702,805975.5812201325
1000703,1010685.344941537
1000704,1141491.1388200754
1000705,3209740.3408362595
1000706,1358360.6056653003
1000707,3960323.8614861434
1000708,2482527.640741665
1000709,679737.1870950338
1000710,1667454.8301779195
1000711,794074.4980560769
1000712,1777254.8205062388
1000713,538748.0919198263
1000714,1097657.6929185556
1000715,174174.90251569223
1000716,104298.39814943523
1000717,397908.0234720388
1000718,853521.7069493948
1000719,3018709.3858860824
1000720,2293463.255265528
1000721,220553.62906888343
1000722,406666.0172856326
1000723,1201830.3300666928
1000724,804087.4803801
1000725,570640.919308886
1000726,2055040.6676893968
1000727,4879530.077702413
1000728,4640557.236012129
1000729,251417.7569222272
1000730,398878.5415185747
1000731,1918663.2820723748
1000732,1106406.6375529561
1000733,1947875.5051767065
1000734,944733.8157594041
1000735,178670.26082081225
1000736,221388.07194885687
1000737,956281.673351623
1000738,1616471.2228014122
1000739,2452935.9667466134
1000740,3907962.883049409
1000741,2398086.8813653984
1000742,260926.05258372196
1000743,2320642.0073409597
1000744,1477035.4663277452
1000745,1061286.1016262565
1000746,668890.3078706228
1000747,720439.8870466612
1000748,730148.3363847635
1000749,431164.8256368904
1000750,224427.66668176185
1000751,625399.6508778747
1000752,383070.99757653085
1000753,442245.99240123294
1000754,473753.44283512206
1000755,1723629.536576139
1000756,788896.5779193754
1000757,1389286.4087647386
1000758,4015731.4847110934
1000759,469789.34458606166
1000760,2578520.9070675764
1000761,2169435.3584301546
1000762,87330.97263412454
1000763,592439.2272176716
1000764,6118477.887314937
1000765,5312266.985596719
1000766,2816054.709770865
1000767,307438.9498195129
1000768,1758857.7573103688
1000769,1372550.5560216696
1000770,451535.0379744081
1000771,461071.78235178045
1000772,1102812.604049488
1000773,1203877.4089527351
1000774,1369822.2746258616
1000775,3329445.41566657
1000776,316408.3462786951
1000777,634752.535011899
1000778,340643.49468990474
1000779,1622072.3483785437
1000780,574702.245277975
1000781,4223770.347182628
1000782,1722970.8522465364
1000783,1932422.148586101
1000784,439960.89516269334
1000785,1002753.191209889
1000786,567106.1392303286
1000787,177527.20437365497
1000788,662846.1979032247
1000789,137114.21623084467
1000790,524311.256826502
1000791,1414127.765348133
1000792,940399.0723227835
1000793,1290386.8206199699
1000794,1302444.7167199994
1000795,1166805.4693212155
1000796,1733248.0502736769
1000797,908514.6778670996
1000798,1081518.4802832538
1000799,1861647.6757958743
1000800,2339033.9659592845
1000801,1488329.0662416285
1000802,2635597.9856106564
1000803,1604263.5831312146
1000804,2234296.502667599
1000806,2225051.825872051
1000807,540292.6166136692
1000808,212127.76819947362
1000809,2381917.863228005
1000810,407327.09616380185
1000811,117738.06904083189
1000812,1009946.357755406
1000813,477565.120522404
1000814,724538.6756931288
1000815,1391082.6567183426
1000816,689307.7727502311
1000817,1326047.1255997198
1000818,974284.607684802
1000819,856975.9725568052
1000820,2963194.564627958
1000821,3370114.9337137705
1000822,441247.7841802045
1000823,1338470.651519423
1000824,439164.72973077383
1000825,907877.9087735866
1000826,694385.088209783
1000827,4469462.742643573
1000828,1330712.0182719359
1000829,3154356.7586605414
1000830,1366027.2890279773
1000831,832525.7026819376
1000832,594256.8593173198
1000833,1006650.035208538
1000834,1757905.363268759
1000835,435950.3006109629
1000836,854430.2832561469
1000837,1142541.813261818
1000838,770856.8769380167
1000839,3549857.5037422166
1000840,1040439.3054456456
1000841,180779.82126321594
1000842,616434.7112176879
1000843,407138.380517086
1000844,2126945.406701972
1000845,2039416.8095485377
1000846,2160862.5303526972
1000847,4563385.706747781
1000848,2451791.1914084894
1000849,3134611.6254652576
1000850,1566534.6688722295
1000851,847720.0199705905
1000852,2197516.2943805805
1000853,757972.0032978202
1000854,2062062.0292798856
1000855,3654009.6827749917
1000856,1217236.7455914961
1000857,1998178.5142452014
1000858,3108669.9712250736
1000859,1605718.8549115786
1000860,1298268.638779089
1000861,2237797.8052111017
1000862,1181251.228218524
1000863,2629281.234451239
1000864,2858629.3249754957
1000865,2159539.8885918483
1000866,6108059.024326322
1000867,6717481.462007669
1000868,975055.9266837614
1000869,904844.8297372825
1000870,2348436.7688077483
1000871,4386058.1632441655
1000872,1235027.0544784334
1000873,998017.273851758
1000874,18606.204998840905
1000875,1484956.9612777315
1000876,1418485.0611088243
1000877,1044800.5259904735
1000878,391533.9110152839
1000879,761118.9945448868
1000880,958273.7107241504
1000881,2002395.3007086779
1000882,1497916.6089946448
1000883,995673.3165422627
1000884,1954450.6333167418
1000885,945867.5766392136
1000886,1550927.798268825
1000887,2648973.812383187
1000888,305494.45473963255
1000889,654756.8459125584
1000890,1985632.8560164822
1000891,1870842.3608379785
1000892,14734197.691641849
1000893,1247372.0097367824
1000894,1749012.1788531183
1000895,2331831.761961003
1000896,3138134.087921262
1000897,1342433.8216314628
1000898,1245107.5148888747
1000899,2799429.3757305364
1000900,1818795.8759496731
1000901,4296725.694211745
1000902,2116578.7649455275
1000903,1348507.3250091183
1000904,1718941.5679012113
1000905,4806582.347401953
1000906,1321861.9344528737
1000907,2304448.9265135988
1000908,1319590.1655554615
1000909,2335579.1145349583
1000910,4663772.247336562
1000911,2229038.774528969
1000912,281232.06208794966
1000913,3070620.881415429
1000914,2461309.349980469
1000915,1277046.0577718099
1000916,2418869.5904659256
1000917,1512636.958548222
1000918,1346859.846699155
1000919,4788054.367042124
1000920,2565936.0352889495
1000921,3989142.1780337654
1000922,3008513.778961961
1000923,1921649.0252039374
1000924,1700473.1687556745
1000925,2750361.5761604104
1000926,2951064.8135730755
1000927,2643906.3016825845
1000928,2586453.225559554
1000929,1554933.73617788
1000930,1608154.7287825814
1000931,1736493.0379895275
1000932,1510039.5500174996
1000933,1664637.2928463824
1000934,1715259.9029824412
1000935,8024779.731050714
1000936,1458424.7722321204
1000937,4812866.820276721
1000938,2810229.7240264635
1000939,4076200.502113307
1000940,2025278.2802382123
1000941,3973317.6775719076
1000942,1349437.6466207209
1000943,2574326.986357807
1000944,1448424.9837705693
1000945,2553887.8502666918
1000946,1417982.3123649454
1000947,1239292.7220064455
1000948,1526608.1714381364
1000949,1307277.1732375282
1000950,761998.4163600053
1000951,2583524.91098924
1000952,2359107.4959324845
1000953,637738.7112274648
1000954,3355269.9804673144
1000955,2412152.1988508548
1000956,1300565.1871008286
1000957,1940901.2649696567
1000958,5017463.91916818
1000959,2601053.975888946
1000960,2159593.2892154446
1000961,4841381.067875296
1000962,3334864.646378453
1000963,2593592.494599338
1000964,1662488.7271499317
1000965,2717036.475014561
1000966,1012208.7435826036
1000967,1954135.3430010546
1000968,3009936.0622946746
1000969,1538936.7387855097
1000970,1031302.8483456627
1000971,792114.464710773
1000972,892573.4313599501
1000973,519929.1357120828
1000974,1287319.8192578866
1000975,900638.3636513453
1000976,1352760.3992328132
1000977,2525301.3499963153
1000978,2635807.278968406
1000979,1852606.134887479
1000980,1912954.46988035
1000981,4656828.277135293
1000982,1908219.1279022114
1000983,2234668.047615573
1000984,979826.5159078195
1000985,378070.93884101126
1000986,1865845.421648855
1000987,1582580.1562060167
1000988,899468.2672203712
1000989,555828.2693687772
1000990,2511753.0728630694
1000991,1030067.2921517366
1000992,850568.1769047122
1000993,3430075.541261117
1000994,520972.96939293074
1000995,416622.63413625804
1000996,1397228.695383322
1000997,2689417.559746949
1000998,1030175.1875951124
1000999,636844.4168692261
1001000,2948221.823437193
1001001,884320.5308640379
1001002,1814415.398116242
1001003,684480.7967002218
1001004,758984.2795451203
1001005,1352789.7759601634
1001006,844282.1933256293
1001007,1029141.1564735865
1001008,1832287.2757166154
1001009,751931.455104207
1001010,873839.9975350226
