상권_코드,coef
1000001,-97196952.68131867
1000002,-391099844.1758242
1000003,-363763315.69780207
1000004,-189218466.35164833
1000005,-158004852.50549453
1000006,-318068069.6318681
1000007,-176104372.51098898
1000008,-445182385.9945055
1000009,-180099363.29670328
1000010,-386789269.9175825
1000011,-280132989.423077
1000012,-10212024.989010988
1000013,-79609676.51098901
1000014,25210532.95054945
1000015,-403840736.5219781
1000016,-307303692.31318676
1000017,3220869371.005494
1000018,-54159905.97252748
1000019,-70203701.66483516
1000020,-291699618.8846154
1000021,-214892285.71978024
1000022,-19128714.879120883
1000023,13261834.752747253
1000024,5013834.4450549465
1000025,23423717.434065934
1000026,-138454433.76373622
1000027,-95670738.95604394
1000028,49395270.66483517
1000029,30189196.17582418
1000030,-203077280.14285713
1000031,-282798677.03296703
1000032,287270574.5824176
1000033,-182973692.16483516
1000034,756703153.8461539
1000035,-55886997.99450549
1000036,-219499044.36813185
1000037,129103772.04945056
1000038,317909188.5384615
1000039,-581104303.5604393
1000040,-384468906.3241759
1000041,-12340507.423076924
1000042,-334175475.1648352
1000043,26832954.137362637
1000044,-76191415.47252749
1000045,167327832.42307693
1000046,-319016598.25274736
1000047,87356110.55494504
1000048,-209831081.5989011
1000049,50483500.07142857
1000050,-95432093.22527474
1000051,1191071185.6043956
1000052,-484502619.4120878
1000053,-444236255.4670329
1000054,-329540244.3901099
1000055,-344199921.25274724
1000056,-236402366.57692304
1000057,-40749844.538461536
1000058,-179019058.26923078
1000059,-91791195.2912088
1000060,67830305.37912087
1000061,-116526962.52747254
1000062,-75547897.9945055
1000063,-239701094.3021978
1000064,-112946456.18131869
1000065,-29991261.505494513
1000066,-10973033.928571431
1000067,-115304220.02747253
1000068,-251674141.90659335
1000069,-143364754.71428573
1000070,-1020877120.3571428
1000071,-194689469.0934066
1000072,-42663726.86263737
1000073,-816969077.0000001
1000074,-90857041.11538462
1000075,-35572378.3021978
1000076,-70232292.18131869
1000077,-62866429.24725274
1000078,-122404846.95054947
1000079,689688876.8736264
1000080,-171199989.8351648
1000081,-114719600.29670326
1000082,-91505747.84065934
1000083,-43797388.318681315
1000084,-323850860.0439561
1000085,-322678060.56043947
1000086,-181824681.81868133
1000087,-195931652.3626373
1000088,-521125036.59340656
1000089,-3193989.6263736277
1000090,-115382125.9065934
1000091,113850094.39010988
1000092,81302670.70879121
1000093,-221297186.05494508
1000094,-846284942.9505492
1000095,-147877577.42857143
1000096,15152686.208791213
1000097,483312104.9450549
1000098,-149961491.55494505
1000099,-786203502.5164835
1000100,-46866512.94505493
1000101,-114182795.59340659
1000102,-4469634.230769207
1000103,352942924.0164835
1000104,31874766.20879121
1000105,-304043821.1593407
1000106,-70739371.77472529
1000107,-138919385.34065932
1000108,84595663.22527471
1000109,3314398030.994506
1000110,485356570.0384616
1000111,-43365173.697802216
1000112,-447670918.86813176
1000113,3126164914.346154
1000114,1351493898.5879123
1000115,330852752.098901
1000116,148212723.51648352
1000117,40496099.68131868
1000118,-253089469.44505492
1000119,-20704446.961538438
1000120,139120071.62637362
1000121,-171822927.021978
1000122,-72906337.18681319
1000123,-351148354.0934066
1000124,-6588489161.901098
1000125,567090607.7472528
1000126,-45772410.06593406
1000127,-155243833.33516484
1000128,-236247512.66483516
1000129,323288533.3021979
1000130,-28957023.005494505
1000131,1566958.5879120845
1000132,291679884.67032963
1000133,-325283710.6923076
1000134,29091748.280219786
1000135,19522799.5054945
1000136,-210059348.19230765
1000137,-286066604.4505494
1000138,-250860706.81318682
1000139,-741982513.6428572
1000140,-68926054.08241762
1000141,-76091548.4230769
1000142,-577893862.2527472
1000143,-81156980.08241758
1000144,-183031269.16483518
1000145,-88604915.55494505
1000146,10786071.060439559
1000147,-79055823.61538461
1000148,-243907407.27472526
1000149,23780721.659340654
1000150,-154989869.63736263
1000151,-71802642.42857145
1000152,-150610876.98351648
1000153,-66660994.58241758
1000154,-345891546.68681324
1000155,-100755518.23076923
1000156,-215516771.6263736
1000157,-99747280.3681319
1000158,-74886027.43956046
1000159,-377521346.1153846
1000160,-165381525.1868132
1000161,-419226238.2802198
1000162,-29127856.38461539
1000163,19323757.197802193
1000164,-67851999.05494507
1000165,-99023928.26923077
1000166,-86155111.69780223
1000167,-128777439.05494504
1000168,8353958.252747256
1000169,-280141779.0769231
1000170,-133336547.84615387
1000171,-29039771.28021978
1000172,111771811.5
1000173,-207919959.37362626
1000174,-52952382.74725275
1000175,469996234.57142866
1000176,229126935.83516484
1000177,-298925452.11538464
1000178,-50139812.75824175
1000179,-84259275.84065935
1000180,-15060865.192307685
1000181,-144480974.21978018
1000182,-14698534.516483521
1000183,-146926706.10439563
1000184,-191051013.2912088
1000185,-72164499.75824174
1000186,552032580.7417582
1000187,-28787397.664835177
1000188,-167272624.52747253
1000189,652453777.8736264
1000190,184451072.17582417
1000191,27839105.769230768
1000192,691694407.7857143
1000193,-342853097.2032967
1000194,-65944145.934065945
1000195,-76619336.12087911
1000196,-80359993.75274725
1000197,-167410809.64835167
1000198,-82763491.0769231
1000199,164020043.03846157
1000200,-81532427.9120879
1000201,2224532437.39011
1000202,585035484.521978
1000203,-184784422.79120877
1000204,-60760774.85714286
1000205,202129305.46153846
1000206,-38427002.527472526
1000207,-119303579.4065934
1000208,-272810792.98901105
1000209,-55840696.06593407
1000210,41227626.55494506
1000211,43716945.021978006
1000212,71607883.64835164
1000213,-1170717998.4999998
1000214,-182845658.8571429
1000215,20090564.928571425
1000216,-73647193.24175823
1000217,-342132417.6208792
1000218,-99658714.56043956
1000219,-8513844.741758242
1000220,-528848964.1373628
1000221,-334158715.52747256
1000222,-49898792.23076925
1000223,-36698622.818681315
1000224,-75693112.19780222
1000225,-14796667.52197802
1000226,-347135768.0989012
1000227,-14185686.274725271
1000228,410261953.8406592
1000229,-248609645.2197802
1000230,-102311372.85164836
1000231,-337268363.90109897
1000232,-60624623.73626375
1000233,-175444663.8901099
1000234,-201733248.8846154
1000235,-166072039.18131867
1000236,60609374.80219781
1000237,-814269972.2912087
1000238,-126051216.63186812
1000239,-74506704.79670331
1000240,-3263030.0494505493
1000241,-23728278.120879125
1000242,37420470.13736264
1000243,-209932952.20879123
1000244,-120208625.15934063
1000245,-142175150.07692307
1000246,-46530225.516483516
1000247,-50796412.29120879
1000248,-99692388.98901099
1000249,-98229727.032967
1000250,-6609983.675824177
1000251,-67186631.40109889
1000252,-809510703.6483516
1000253,136476760.65384614
1000254,150850630.82417583
1000255,-111485397.65934065
1000256,-43256299.75274725
1000257,-94985420.98351648
1000258,-90239734.46703295
1000259,-94803628.84065934
1000260,411616180.46703285
1000261,-280309626.2417582
1000262,-7615765.9780219775
1000263,-58263296.7967033
1000264,-12783248.478021976
1000265,-86141908.04395604
1000266,-73853843.0879121
1000267,-17403081.384615384
1000268,-118536323.73076925
1000269,-3843792.313186818
1000270,-183350050.76373625
1000271,49970039.15384613
1000272,-132820734.18131867
1000273,57155728.28571432
1000274,-220102026.28021976
1000275,-35780647.07142857
1000276,-305868049.75274724
1000277,-138485390.05494505
1000278,-463391032.51648355
1000279,-56866375.12087913
1000280,-92429856.63186812
1000281,-75820348.46153846
1000282,-62997233.18681318
1000283,-14208695.076923076
1000284,-121827228.25274728
1000285,-70773902.53296703
1000286,-32885554.373626374
1000287,-77453906.49450548
1000288,-510584489.82417595
1000289,-102150627.14835165
1000290,-167223685.84615386
1000291,-657419408.9175823
1000292,-827402789.3956045
1000293,-52020095.91758243
1000294,-386262525.11538464
1000295,-101090554.01098903
1000296,-46796615.47252745
1000297,-100762004.40109889
1000298,-82136226.06593406
1000299,-220077507.3681319
1000300,-51179767.51648352
1000301,-438561299.09340656
1000302,-267566683.05494502
1000303,-118038435.93956044
1000304,-87301608.29670331
1000305,-338288547.67582417
1000306,-174912913.7912088
1000307,101972450.33516482
1000308,-179257058.23626375
1000309,-209581345.2967033
1000310,8116095.78021978
1000311,-279534162.59340656
1000312,-80263177.96703297
1000313,42891752.747252755
1000314,-197229098.68131864
1000315,-102446319.75274725
1000316,-70860891.70879121
1000317,-84457070.15934066
1000318,-19035912.164835174
1000319,20464588.75824176
1000320,-141942700.93406597
1000321,-19032304.472527474
1000322,-206183080.56593403
1000323,-19416105.313186795
1000324,-79306135.26373625
1000325,-23149457.912087917
1000326,-14336096.208791206
1000327,-62725219.21428572
1000328,-39793902.59890109
1000329,-15778040.302197797
1000330,-83547839.28021978
1000331,-97385153.25274725
1000332,11120421.587912085
1000333,69320551.37912089
1000334,-46521199.07692308
1000335,-12546688.461538462
1000336,-29787686.82417582
1000337,-2093969.6593406603
1000338,-115215297.2967033
1000339,-199510238.06043953
1000340,-15811343.31868132
1000341,-42036766.027472526
1000342,-1084524275.3406596
1000343,10727572.137362638
1000344,-18059682.13736262
1000345,-32102080.912087917
1000346,-153162105.29120877
1000347,-54282307.56043957
1000348,-9832181.730769226
1000349,51790491.34615383
1000350,-100552164.25824174
1000351,57584516.3956044
1000352,-106608783.4120879
1000353,-23249538.269230768
1000354,-15740296.098901097
1000355,29133075.763736263
1000356,256059918.16483518
1000357,-9202290.75824176
1000358,-69621107.18131867
1000359,-245507383.93406597
1000360,-64522300.85164836
1000361,-319602844.3076922
1000362,-159813717.0054945
1000363,-54304813.164835155
1000364,-59474390.47252748
1000365,-151344648.5384615
1000366,-196166512.62087914
1000367,-64470207.94505493
1000368,96188082.8186813
1000369,-83439.36813186923
1000370,-29508996.25824175
1000371,76908891.62637362
1000372,-140470218.18681318
1000373,-234381362.10989016
1000374,-130100902.78021975
1000375,-87976988.41758242
1000376,-14368391.626373636
1000377,-299849316.7417582
1000378,-74016228.82967032
1000379,-201885190.69230768
1000380,-522905657.0
1000381,-176331896.00549448
1000382,-76071908.10989012
1000383,-370875461.32417583
1000384,-177049575.75824183
1000385,-361761624.6483516
1000386,-171784612.51098898
1000387,-11941279.274725277
1000388,-110701561.0769231
1000389,-123446034.06043956
1000390,-128759948.9945055
1000391,-71950204.54395607
1000392,2948533.384615389
1000393,-169355760.5934066
1000394,23221102.06593407
1000395,-53036948.571428575
1000396,-256450449.51098898
1000397,-68162311.09340659
1000398,-40228073.71428571
1000399,310821400.20879114
1000400,-71933984.81868133
1000401,-456920374.054945
1000402,1208874407.6428573
1000403,-183379541.11538464
1000404,-149692676.1758242
1000405,-1652789.9615384545
1000406,-109662126.11538464
1000407,-66099419.42307693
1000408,-34766678.538461536
1000409,-55255495.57692308
1000410,-134627534.25274727
1000411,-123168015.37362638
1000412,-369590216.64835167
1000413,330569355.0000002
1000414,-68919654.0879121
1000415,-59560954.840659335
1000416,81499586.04945055
1000417,-95175100.22527471
1000418,-423868674.30769235
1000419,-40620328.741758235
1000420,430803059.80769217
1000421,-107277309.15384617
1000422,-96121966.24725273
1000423,44979194.57142858
1000424,-52095934.16483516
1000425,-81163669.8901099
1000426,-49881857.90659342
1000427,-91878445.67582417
1000428,-361784322.8956044
1000429,-131561557.37912087
1000430,-110990808.08241758
1000431,-72154908.14285713
1000432,-15380215.225274721
1000433,860884.4615384615
1000434,-40832289.8021978
1000435,8839862.538461536
1000436,-33510543.527472522
1000437,-212638287.51098895
1000438,-1322621398.532967
1000439,-332876788.1153846
1000440,-8644676.653846148
1000441,-449353665.25824183
1000442,-248881054.92857134
1000443,-13389264.027472524
1000444,-75322096.78021978
1000445,16505795.884615406
1000446,-47064882.04395603
1000447,-501410927.59340674
1000448,-32881604.038461532
1000449,650309511.8461539
1000450,-55823645.94505495
1000451,-152886260.02747253
1000452,11714880.17032967
1000453,-31549824.604395606
1000454,-233531156.45604393
1000455,-97449295.43956044
1000456,-411847474.96703285
1000457,-40182712.67582417
1000458,-123967940.46703297
1000459,-171498568.97802198
1000460,-68120504.76923077
1000461,-56712052.24175823
1000462,-224593678.63186815
1000463,-93067074.40659343
1000464,-198613863.5549451
1000465,-156626296.2087912
1000466,-145852747.3186813
1000467,-372047465.521978
1000468,833877690.543956
1000469,-430100231.98351645
1000470,-355180385.0659341
1000471,-128796990.07692307
1000472,-155045912.26373625
1000473,-756491780.010989
1000474,-203139522.99450547
1000475,-380066244.44505495
1000476,-212174589.28571424
1000477,-533747392.97252756
1000478,-80661769.76373626
1000479,-56611111.939560436
1000480,-258077938.6538461
1000481,-434247282.4945055
1000482,-163039581.04945052
1000483,-111391470.54945056
1000484,-121269224.22527476
1000485,-16728001.505494509
1000486,-12299808.802197803
1000487,-68415582.29670331
1000488,-118170423.17032968
1000489,15781911.521978023
1000490,-22589543.335164834
1000491,-68710079.86813189
1000492,1647075527.7142854
1000493,111951602.3021978
1000494,-521155478.77472526
1000495,-284237365.510989
1000496,-92975173.59340656
1000497,-369567096.50549453
1000498,-24449432.59340659
1000499,-155119520.38461536
1000500,-329536174.22527474
1000501,-12344019.593406595
1000502,-195978783.27472523
1000503,-93726408.09890112
1000504,-1015934816.8241761
1000505,-401726494.78571427
1000506,-50789769.13186813
1000507,-34379731.472527474
1000508,-28187626.708791204
1000509,-97404183.08241759
1000510,-66962605.598901086
1000511,-121086424.15934066
1000512,-150188592.4395604
1000513,-132848842.80219781
1000514,-62505080.208791204
1000515,-68574769.34065935
1000516,109654308.02747253
1000517,-224379781.5274725
1000518,-147985658.72527474
1000519,-440405418.2912088
1000520,-61177847.60439559
1000521,-373162147.19230765
1000522,-1425628684.4230769
1000523,68056408.76923077
1000524,-185723207.89560443
1000525,-36121345.362637356
1000526,-95863885.34065934
1000527,-92238401.5054945
1000528,-17236849.37912088
1000529,-315379273.60989016
1000530,-262320104.3846153
1000531,-24049119.307692308
1000532,-391863308.39010996
1000533,-342659748.9560439
1000534,-72306148.81868133
1000535,27695096.54945055
1000536,289592210.7032967
1000537,98363972.7142857
1000538,-10214020.384615384
1000539,-124552704.73076926
1000540,5382986.307692303
1000541,-77600297.56593406
1000542,-82185725.24725273
1000543,-446917083.75274736
1000544,-42974102.72527473
1000545,-204715760.9230769
1000546,122838207.50000003
1000547,-219401975.1758242
1000548,35185981.46703297
1000549,-177835425.5384615
1000550,-290110714.1043957
1000551,28546826.884615395
1000552,-53066719.81318681
1000553,-9683397.543956041
1000554,-9237185.489010995
1000555,3853955.3571428577
1000556,-59007647.94505495
1000557,-259414387.92857146
1000558,16379040.12637363
1000559,-195671128.82967034
1000560,-134861730.21428573
1000561,-4856705.8021978075
1000562,-56698054.703296706
1000563,-416819755.97802186
1000564,-213915177.4175824
1000565,-153990170.36813185
1000566,-249448956.35714287
1000567,-189522586.1703297
1000568,-70902444.34065937
1000569,-91983482.19780222
1000570,-113064595.24175824
1000571,6847049.456043957
1000572,-48176265.64835164
1000573,-295578507.291209
1000574,-179629973.23076925
1000575,1182456455.7692308
1000576,-146723000.3736264
1000577,-70154937.9945055
1000578,-361360574.70879114
1000579,-237970899.74725273
1000580,-13529014.142857142
1000581,-95614703.12637359
1000582,31029664.692307692
1000583,25085683.97252747
1000584,-68847522.9835165
1000585,-125380679.6978022
1000586,140343811.32967034
1000587,-161394634.96703297
1000588,-169370234.456044
1000589,-119596953.79670328
1000590,1481389284.6868129
1000591,-125442279.25274724
1000592,34336859.97252748
1000593,-103184635.40659344
1000594,-356548300.8461538
1000595,-46652362.851648375
1000596,-193746602.1263736
1000597,-255724677.3296704
1000598,10174278.598901097
1000599,-148516470.9010989
1000600,-155716951.543956
1000601,-22877647.52197802
1000602,-70436036.7802198
1000603,-366048076.4780221
1000604,-202297638.6483516
1000605,-310063898.96703297
1000606,-405590750.5
1000607,-578211334.6703296
1000608,-410155947.27472514
1000609,-32255787.686813194
1000610,-27664425.214285724
1000611,-338038615.4065934
1000612,-51822498.90109889
1000613,-129135675.47252749
1000614,-495755404.83516484
1000615,-126057026.59340659
1000616,-48986427.357142866
1000617,-34271338.19230768
1000618,10297983.445054948
1000619,-20334939.434065934
1000620,-552533015.8681319
1000621,7552702.956043956
1000622,131169963.54945056
1000623,-52251734.972527474
1000624,-98238048.30219778
1000625,-271824757.48901093
1000626,-57546346.57692307
1000627,-114998903.27472527
1000628,-30196136.39010988
1000629,-109895622.24725275
1000630,-50103595.818681315
1000631,-75947564.73076922
1000632,-272711774.6648352
1000633,-100211129.7142857
1000634,44669310.065934055
1000635,-127565795.6978022
1000636,-34952102.593406595
1000637,-736692908.2637364
1000638,-199914327.8131868
1000639,-278172972.5989011
1000640,-105425650.67582418
1000641,-378121859.7252747
1000642,-71997601.13186812
1000643,-453879762.4615385
1000644,-1109352003.1373625
1000645,-125524757.28571427
1000646,10581885.879120879
1000647,-134674221.70329672
1000648,-248412149.90659335
1000649,7875804.835164834
1000650,-220043812.28571427
1000651,-7789153.571428571
1000652,55144474.28021977
1000653,-553323446.6703297
1000654,340974085.91208786
1000655,-160842601.53296706
1000656,82265742.5164835
1000657,8779144.538461538
1000658,-61039368.18681319
1000659,-72037461.90109892
1000660,-312014114.0494505
1000661,70186332.54395604
1000662,-74356534.75824176
1000663,41912955.862637356
1000664,404892337.61538464
1000665,-19581831.335164838
1000666,35830548.60989011
1000667,-80045665.94505493
1000668,-160951167.0879121
1000669,-27975750.45054945
1000670,-363159667.0879121
1000671,-299985050.8076923
1000672,-78324100.4945055
1000673,-243456032.1868132
1000674,-130279748.95604393
1000675,-68950704.68131869
1000676,76042921.24725275
1000677,-86454809.23626374
1000678,-68419118.23626375
1000679,-100806092.13186812
1000680,-2819432.071428572
1000681,-57508067.35164836
1000682,-103032389.73076926
1000683,-62212752.95054946
1000684,844914028.956044
1000685,-313488773.42857134
1000686,-124046701.91758242
1000687,-330735104.8021979
1000688,-256086907.3076923
1000689,-194569910.67032966
1000690,-66632992.5934066
1000691,35068784.08791209
1000692,-56433257.79120878
1000693,-391424136.7417582
1000694,-82586498.52197804
1000695,2088972742.4560435
1000696,1807530056.4230769
1000697,-38918021.76373626
1000698,-9972179.291208792
1000699,-64554565.45604395
1000700,-99655431.29120879
1000701,-125422718.95604394
1000702,-166819445.0
1000703,-121580952.14835168
1000704,-148777427.29670328
1000705,28284174.269230768
1000706,-123561525.93956043
1000707,-1193441855.3186812
1000708,-202077757.86263737
1000709,-91026274.45054947
1000710,311679717.57142854
1000711,-136264596.33516482
1000712,-287461828.31868136
1000713,-72222326.09890111
1000714,-534951825.6813187
1000715,-16727475.785714285
1000716,-23297929.68681319
1000717,-108328941.08791208
1000718,-208206794.2417582
1000719,-369005299.846154
1000720,-79566494.52747253
1000721,-94214604.60989012
1000722,29526302.593406595
1000723,22113039.57692308
1000724,36017943.895604394
1000725,-46042504.28571428
1000726,-108191928.71428573
1000727,1685823857.2527475
1000728,2061874781.582418
1000729,-72944502.80219778
1000730,-82521808.97252749
1000731,-305896833.19780225
1000732,-248528364.26923075
1000733,39827966.0879121
1000734,-35336421.54395604
1000735,-10412406.120879123
1000736,-67187868.17032968
1000737,-63182184.36813185
1000738,-356152905.7637362
1000739,-428475371.4505495
1000740,209081812.07692304
1000741,51407390.78021978
1000742,-5006426.340659342
1000743,-316035992.2582418
1000744,-26919687.626373637
1000745,-352346622.68681306
1000746,-435511954.35714287
1000747,-61995774.83516482
1000748,-7837516.25274725
1000749,31925112.423076916
1000750,-37214548.40109889
1000751,153339246.15934068
1000752,-86169602.43406594
1000753,-124248069.25824176
1000754,-4271446.379120881
1000755,40002032.038461536
1000756,-102173872.34065934
1000757,-256579400.72527474
1000758,678518355.032967
1000759,-129737372.58241759
1000760,-1030682614.2527472
1000761,-613578954.379121
1000762,-17504407.939560436
1000763,-53215318.71978023
1000764,-163171069.15934062
1000765,-12215506.170329684
1000766,-65399721.4010989
1000767,-4471892.532967032
1000768,-346739731.30219775
1000769,-367418339.9780219
1000770,-10317616.126373624
1000771,-11618270.29670329
1000772,232618916.30219775
1000773,67131284.71428572
1000774,-223597189.40659344
1000775,-241393212.9450549
1000776,-53613742.038461536
1000777,-123085926.23626374
1000778,-57858161.10989011
1000779,-499524079.9230769
1000780,-107188748.54395603
1000781,-805220535.4285715
1000782,-216395881.82417583
1000783,-116881862.26923075
1000784,3853258.3626373624
1000785,-108672278.75824174
1000786,-138074523.85164833
1000787,4545800.269230769
1000788,-109742346.0934066
1000789,-8028535.807692307
1000790,-121255960.07142858
1000791,-82287870.62637362
1000792,-117528693.18131869
1000793,-152008674.14835164
1000794,-155420859.5714286
1000795,-417844031.6538461
1000796,-38971493.46153846
1000797,-199580582.83516484
1000798,-71307796.12637363
1000799,-181278047.13736263
1000800,-149939628.9725274
1000801,-181573394.5384615
1000802,-335240209.20879126
1000803,29692246.043956045
1000804,-200719234.65934062
1000806,-277963561.88461536
1000807,-50555076.57142856
1000808,34858015.37362638
1000809,7175864.554945056
1000810,-101213166.14835167
1000811,-27288397.824175823
1000812,-45138062.60439561
1000813,-53289162.989011
1000814,-184587025.79670334
1000815,-257677796.06043956
1000816,-72641318.92857143
1000817,-160850612.9175824
1000818,-123284689.52197802
1000819,-282270271.89010984
1000820,-50704262.296703294
1000821,-334679199.010989
1000822,-13077394.269230766
1000823,-146907443.8901099
1000824,-102099936.43406592
1000825,68169375.74725275
1000826,-33146041.37362637
1000827,-149554709.36263734
1000828,65277987.505494505
1000829,1363773967.016483
1000830,-66652893.2857143
1000831,-275688105.478022
1000832,-42139609.7032967
1000833,61456374.64285714
1000834,-84002456.26373626
1000835,-157260031.42857143
1000836,43767903.77472527
1000837,-146352605.95054945
1000838,-152435598.489011
1000839,-572169770.9395605
1000840,-74976865.75824174
1000841,-8915399.61538462
1000842,-50404787.52197802
1000843,76549352.32417583
1000844,222736164.51648352
1000845,-216331386.6868132
1000846,-172375713.8956044
1000847,728807077.5549452
1000848,-1032382916.8186811
1000849,-234844183.2692307
1000850,-232503117.19230768
1000851,-103239510.23076925
1000852,150060708.0054945
1000853,28225338.967032973
1000854,-430783368.60989016
1000855,-249913845.09890112
1000856,-27730574.681318678
1000857,-145393060.8021978
1000858,-372867885.3681319
1000859,-306954938.978022
1000860,-205029291.7527473
1000861,16263094.631868135
1000862,61821368.35714285
1000863,-156514537.62637365
1000864,-442048283.0714284
1000865,-109878999.60989012
1000866,50292907.08241761
1000867,-963495675.6428572
1000868,-10587133.09890109
1000869,-37999441.175824165
1000870,-465337589.32967025
1000871,-196170898.77472526
1000872,-211819385.91758242
1000873,71267479.28021976
1000874,-6765447.560439559
1000875,424207524.6428572
1000876,-114871151.45604393
1000877,113138349.90659338
1000878,-76918168.15934063
1000879,-359647492.8846153
1000880,594883623.1703297
1000881,688926472.8131868
1000882,-234128178.19230768
1000883,-191249180.2087912
1000884,79970285.8736264
1000885,-155078813.13186815
1000886,11185295.241758239
1000887,295959701.64835167
1000888,-82018963.21978022
1000889,113242613.10439558
1000890,206755234.3296703
1000891,396001756.478022
1000892,364513710.8406594
1000893,212693573.95054945
1000894,-346885142.9065934
1000895,246620394.37912086
1000896,-407889425.14285713
1000897,8749580.950549452
1000898,-304948355.8131868
1000899,-356373061.3241759
1000900,-94936521.72527471
1000901,383466285.8901099
1000902,111898872.97802196
1000903,433208215.3296703
1000904,-764530754.9670329
1000905,-101248207.88461538
1000906,-40559124.64285716
1000907,-262828132.1978022
1000908,-43830206.35714286
1000909,-229379498.54945058
1000910,1342993807.7912085
1000911,-309951114.2692308
1000912,-61181064.4120879
1000913,596877347.5439559
1000914,342070272.3461538
1000915,-247121438.51648355
1000916,-369140566.0164836
1000917,-152992001.94505498
1000918,-82173127.0879121
1000919,-617728330.4175824
1000920,-280589960.0934066
1000921,869507894.3186812
1000922,-615369850.7747252
1000923,-208664928.95054942
1000924,174003903.39010993
1000925,-74648660.29120877
1000926,-611148558.434066
1000927,-632770019.1208792
1000928,-129325991.18681319
1000929,-202400242.6703296
1000930,-541884423.901099
1000931,-603948320.3461539
1000932,-342039834.82967037
1000933,-39982760.84615385
1000934,-363675048.35714287
1000935,-500137823.46153843
1000936,-178524529.59340662
1000937,-817930063.4175825
1000938,960249175.725275
1000939,-141827082.54945052
1000940,92079902.96153846
1000941,-396190350.1648352
1000942,-55443601.76373626
1000943,-219829883.5989011
1000944,108713364.62087911
1000945,-202452601.21428573
1000946,-72281181.00000003
1000947,28027741.03846154
1000948,516683988.2912088
1000949,-25331900.390109878
1000950,46079091.62087911
1000951,89053204.29670334
1000952,278675671.59890103
1000953,-387928726.71428555
1000954,-558904715.2197802
1000955,947567119.9120878
1000956,-389690246.76373625
1000957,21507802.549450543
1000958,-1211082000.0219781
1000959,-308583492.4230769
1000960,-139601274.30219778
1000961,-519266615.59890115
1000962,-282025439.73626375
1000963,636515885.0054945
1000964,-60099307.005494505
1000965,731363273.2417583
1000966,-80678766.46703298
1000967,-694119145.2472527
1000968,-345820519.0604396
1000969,-81845325.95054944
1000970,-393772.0934065949
1000971,-27902316.153846163
1000972,-60547798.46703297
1000973,10074625.065934068
1000974,-174095307.1098901
1000975,36427955.89010989
1000976,480149398.8681318
1000977,66536256.593406595
1000978,260433535.3351649
1000979,-99344850.06043956
1000980,-362365105.01648355
1000981,-124388163.55494504
1000982,628451354.3901099
1000983,-422150823.2417582
1000984,-191138330.22527477
1000985,-59283331.54395606
1000986,-346412652.2197803
1000987,46680661.62637362
1000988,-159964722.53846154
1000989,-32126415.62087913
1000990,37839213.89010989
1000991,-15077641.868131856
1000992,-94602023.75824177
1000993,-124819256.25274727
1000994,31218581.450549453
1000995,-29182052.631868128
1000996,-187041627.36813188
1000997,-32861150.379120883
1000998,-90654581.99450551
1000999,16398501.510989003
1001000,-164454844.2637363
1001001,-379984590.1318682
1001002,-68035048.07692307
1001003,-120137329.74175823
1001004,-147914073.2142857
1001005,-82820595.15934066
1001006,-187649316.39560443
1001007,-40292458.53846152
1001008,-219676983.66483516
1001009,-338080220.12637365
1001010,26917878.708791208
